799889580001962TAVG-9999   -9999   -9999   -9999    -320  f -880  f-1030  f -930  f -930  f -360  f -320  f  -40  f
799889580001963TAVG    0  f   30  f -360  f -740  f -560  f -780  f-1030  f-1900  f-1050  f -880  f -250  f   80  f
799889580001964TAVG  100  f    0  f -240  f -770  f -940  f-1170  f -600  f-2010  f -970  f -320  f -110  f    0  f
799889580001965TAVG   90  f   70  f  110  f -330  f -390  f -740  f-1300  f-1220  f -570  f -890  f -210  f  -80  f
799889580001966TAVG   20  f  -30  f -180  f -570  f -610  f -880  f-1600  f-1200  f-1040  f -670  f -210  f  -60  f
799889580001967TAVG    0  f -200  f -150  f -280  f -860  f -800  f -820  f -860  f -990  f -750  f -380  f    0  f
799889580001968TAVG    0  f  -70  f -150  f -150  f -540  f-1070  f -820  f-1320  f-1240  f -560  f -330  f  -20  f
799889580001969TAVG   30  f  -80  f -500  f -640  f-1230  f-1820  f-1570  f-1100  f -590  f -890  f -360  f   60  f
799889580001970TAVG  -20  f  -80  f -200  f -840  f -850  f -890  f -520  f-1110  f -370  f -240  f  -60  f   80  f
799889580001971TAVG  160  f   30  f  -20  f -200  f -520  f -320  f -580  f -690  f -560  f -250  f -150  f   70  f
799889580001972TAVG  210  f  120  f  -60  f -270  f -370  f -700  f -520  f-1050  f -590  f -400  f -230  f   60  f
799889580001973TAVG  -80  f  -20  f -200  f -650  f -840  f-1000  f -870  f -640  f -710  f -410  f -150  f   30  f
799889580001974TAVG  100  f  130  f   50  f -380  f -510  f -350  f -800  f -760  f -930  f -280  f -110  f  110  f
799899670001959TAVG -430  f-1490  f-2040  f-2650  f-2040  f-3730  f-3490  f-3210  f-3130  f-2040  f-1260  f -480  f
799899670001960TAVG -810  f-1440  f-2620  f-2460  f-3170  f-3360  f-3070  f-2950  f-3400  f-2030  f-1280  f -680  f
799899670001961TAVG -770  f-1220  f-2170  f-3250  f-2180  f-3290  f-3760  f-3720  f-3370  f-1620  f-1210  f -670  f
799899670001962TAVG -780  f-1340  f-2430  f-2590  f-3470  f-2810  f-3080  f-3530  f-3360  f-2770  f-1690  f-1050  f
799899670001963TAVG -660  f-1720  f-2040  f-2620  f-2530  f-3380  f-2840  f-2300  f-2340  f-2670  f-1780  f -660  f
799899670001964TAVG -610  f-1290  f-2310  f-3410  f-3800  f-2380  f-3490  f-3850  f-3710  f-2920  f-1550  f -640  f
799899670001965TAVG -430  f-1080  f-2200  f-3000  f-2990  f-3160  f-3420  f-3270  f-2830  f-2060  f-1260  f -670  f
799899670001966TAVG -660  f-1430  f-1270  f-2590  f-3060  f-2960  f-2630  f-3660  f-3430  f-2530  f-1450  f -470  f
799899670001967TAVG -330  f-1060  f-2160  f-2290  f-3160  f-3710  f-3460  f-3530  f-3040  f-2410  f-1350  f -630  f
799899670001968TAVG -770  f-1190  f-1830  f-2900  f-2540  f-2450  f-3300  f-3360  f-3170  f-1850  f-1120  f -590  f
799899670001969TAVG -430  f-1510  f-2650  f-2090  f-2550  f-2740  f-3640  f-2730  f-2430  f-1680  f-1270  f -400  f
799899670001970TAVG -590  f-1050  f-2390  f-2650  f-3050  f-3530  f-3510  f-3550  f-2040  f-2090  f-1200  f -450  f
